"﻿变量名",name,name_tw,name_en,name_kr,desc,desc_tw,desc_en,desc_kr,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
默认值,"""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任務名字,任务名字,任务名字_韩,任务描述,任务描述,任务描述,任务描述_韩,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
1,Eliminate pests,消滅害蟲,Eliminate pests,해충 박멸,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,近期森林中的害蟲氾濫，需要各方精靈前去清除。,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,"최근에 숲에서 해충이 범람하여, 포켓몬을 보내 박멸이 필요함.",1,100,60,<30;34>,{gold=5000;2101=1},{2101=1;930=1},<0.4;0.6>,3,<3;8;4>,70,1,{2=1},30
2,Pick berries,採集樹果,Pick berries,과일 채집,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,又到了樹果盛產的季節，和精靈組織一場採集樹果的郊遊吧！,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,과일 수확의 계절이 찾아왔습니다. 포켓몬들과 함께 과일을 따러 가세요!,1,100,60,<30;34>,{gold=5000;2101=1},{2101=1;gold=6000},<0.4;0.6>,3,<3;4;2>,70,2,{2=1},30
3,Waste sorting,垃圾分類,Waste sorting,분리수거,Let's sort the waste in order to protect our environment.,為了更好的保護環境，來進行垃圾分類吧。,Let's sort the waste in order to protect our environment.,"환경을 지키기 위해, 쓰레기를 분리수거해주세요.",1,100,60,<30;34>,{gold=5000;2101=1},{2101=1;12=5},<0.4;0.6>,3,<8;4;15>,70,3,{1=1},30
4,Missing Pokémon,尋寵啟示,Missing Pokémon,애완동물 실종 전단지,The trainer in town has lost his Pokémon. Help him find it.,鎮上的訓練家把自己的精靈弄丟了，需要請求幫忙一起尋找。,The trainer in town has lost his Pokémon. Help him find it.,마을에서 어느 트레이너가 자신의 포켓몬을 잃어버렸답니다. 같이 찾아 주세요.,2,100,120,<30;34>,{gold=6250;2101=2},{2101=2;930=2},<0.5;0.7>,3,<8;9;1>,70,1,{2=1},30
5,Spiritual Mentor,心靈導師,Spiritual Mentor,심령술사,Use Pokémons to comfort the lost villagers and relief the depressing mood.,用精靈去溫暖失落的村民，釋放壓抑的心情。,Use Pokémons to comfort the lost villagers and relief the depressing mood.,"낙심하는 마을 주민을 포켓몬으로 위로해 주고, 우울한 기분을 풀어주세요.",2,100,120,<30;34>,{gold=6250;2101=2},{2101=2;gold=10000},<0.5;0.7>,3,<4;9;1>,70,2,{2=1},30
6,Help to find Pokémon,協助尋寵,Help to find Pokémon,애완동물 찾아주기,Help rookie trainers train their Pokémons.,幫助新手訓練家馴服自己的精靈。,Help rookie trainers train their Pokémons.,새로 온 트레이너의 포켓몬 훈련을 도와주세요.,2,100,120,<30;34>,{gold=6250;2101=2},{2101=2;12=7},<0.5;0.7>,3,<4;15;7>,70,3,{1=1},30
7,Catch the criminal,抓捕罪犯,Catch the criminal,범죄자 체포,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,警方找到通緝多年偷盜精靈的小偷，協助員警進行抓捕！,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,경찰이 수년간 수배한 포켓몬 도둑을 찾아냈습니다. 경찰을 도와 범인을 잡으세요!,3,100,180,<30;34>,{gold=7500;2102=1},{2102=1;930=3},<0.6;0.8>,3,<9;2;7>,70,1,{2=1},30
8,Protect the villagers,保護村民,Protect the villagers,마을 주민 보호,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,野生的精靈最近暴亂，經常襲擊鎮上村民，請前去保護村民安全！,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,"야생의 포켓몬들이 최근 폭동을 일으켜, 마을 주민을 습격하고 있습니다. 주민들을 지켜주세요!",3,100,180,<30;34>,{gold=7500;2102=1},{2102=1;gold=16000},<0.6;0.8>,3,<3;7;17>,70,2,{2=2},30
9,Follow the target,跟蹤目標,Follow the target,목표 추적,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,員警請求訓練家説明跟蹤目標人物，並回饋行蹤。,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,경찰이 트레이너에게 타깃 인물을 추적하고 행적을 알려달라 요청했습니다.,3,100,180,<30;34>,{gold=7500;2102=1},{2102=1;12=10},<0.6;0.8>,3,<4;7;15>,70,3,{2=2},30
10,Escort the Professor,護送博士,Escort the Professor,박사님 호송하기,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,博士委託訓練家協會來護送自己，要求安全抵達目的地。,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,박사님이 트레이너 협회에 자신을 목적지까지 안전하게 호송해달라 요청했습니다.,4,100,240,<30;34>,{gold=10000;2102=2},{2102=2;930=4},<0.9;1.1>,4,<9;1;10>,70,1,{2=2},30
