"﻿变量名",huodongID,numText,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,icon,iconSpecial,frameType,type,times,position,frontWay,preID,duration,cd,cost,target1,params1,target2,params2,target3,params3,spTarget,spParams,extraAward,extraTime,award
默认值,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,{},<>,0,1,0,{},0,<>,0,<>,0,<>,0,<>,{},0,{}
ID,版本ID,序号（界面显示用）,名字,名字,名字,名字,名字,描述,描述,描述,描述,描述,任务点样式,特殊委托标识,弹框样式,任务类型(1-主干;2-分支;3宝箱),可完成次数,位置,前置路点,前置派遣id,时长(分钟),冷却时间,消耗(行动点),基础要求1(1-委托精灵x个;2-x元素y个;3-指定markID卡牌领队;4-性别为x精灵y个;5-身高x及以上的精灵y个;6-身高x及以下的精灵y个;7-体重x及以上的精灵y个;8-体重x及以下的精灵y个;9-好感度x及以上的精灵y个;10-稀有度x以上的精灵y个;11-元素满足多个),基础参数1(target;count),基础要求2,基础参数2,基础要求3,基础参数3,特殊要求,特殊参数,额外奖励类型,额外缩短时间,委托奖励
1,101056,1,new adventure,新的探險,,,,"Xiaozhi and the elves found a new area, the scenery here is so beautiful, they decided to start exploring from all around",小智和精靈們發現了一片新的區域，這裏景色各異美不勝收，他們決定先從四周展開探索,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=568;y=506},<<568;506>>,,15,,{8118=2},1,<4>,,,,,,,,,{gold=150000;500=1}
2,101056,2,cleaning,大掃除,,,,"There is a house in front of it. When I entered the door, I found that there was a lot of dust in the house and the sundries were messy. With the help of the elves, it would be cleaned up quickly.",有一棟很適合小憩的屋子，進門才發現屋內塵頭大起，雜物淩亂，這就需要精靈們幫忙啦,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=720;y=770},<<568;506>;<446;582>;<484;694>;<596;740>;<720;770>>,1,15,,{8118=2},11,<3>,,,,,4,<0;2;2>,{rmb=50},,{gold=150000;20701=10}
3,101056,3,generate electricity for love,為愛發電,,,,"The circuit of the research institute here is damaged, causing the machine to fail to operate normally. Xiaozhi needs to send a trusted partner to help",這裏的研究所的電路損壞了，導致機器無法正常運行，需要小智派出信賴的夥伴來幫忙,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=1058;y=628},<<720;770>;<804;796>;<866;812>;<1058;628>>,2,30,,{8118=2},2,<5;1>,9,<10;2>,10,<3;1>,,,,,{rmb=50;930=50}
4,101056,4,mysterious fragrance,神秘的香味,,,,"Xiaozhi and his party were about to continue on their way, when suddenly a clear fruity fragrance wafted in the wind, making them mouth-watering, so everyone decided to go to investigate",小智一行準備繼續趕路，突然一陣清冽的果香迎風飄來，令人垂涎，於是大家決定去前往探查,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=1478;y=746},<<1058;628>;<1130;622>;<1194;644>;<1478;746>>,3,120,,{8118=4},2,<1;1>,10,<2;2>,,,,,,,{gold=150000;452=50}
5,101056,5,move on Ⅰ,繼續向前Ⅰ,,,,Xiaozhi and the elves are marching on the road. The elves listened to Xiaozhi's dispatch and formed multiple teams to ensure everyone's safety during exploration,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=1750;y=950},<<1478;746>;<1544;796>;<1590;842>;<1626;882>;<1676;926>;<1750;950>>,4,180,,{8118=5},2,<6;1>,9,<20;1>,,,,,,,{gold=150000;16=10}
6,101056,6,keep going Ⅱ,繼續向前Ⅱ,,,,Xiaozhi and the elves are marching on the road. The elves listened to Xiaozhi's dispatch and formed multiple teams to ensure everyone's safety during exploration,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=2060;y=970},<<1750;950>;<1840;964>;<1912;966>;<1984;966>;<2060;970>>,5,360,,{8118=5},2,<2;1>,2,<16;1>,5,<1.5;2>,,,,,{rmb=50;502=5}
7,101056,7,picnic,野餐,,,,"This grove is not big, but the wild fruits on the trees are beautiful and beautiful. Xiaozhi and the elves plan to take a rest here",這片小樹林地方不大，樹上的野果倒是長得嬌艷欲滴，小智和精靈們打算在這裏稍作休息,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=2392;y=858},<<2060;970>;<2154;960>;<2328;900>;<2392;858>>,6,180,,{8118=5},3,<91>,1,<4>,10,<3;2>,9,<65;1>,{502=2},,{gold=150000;20701=10}
8,101056,8,Lost ruins?,遺落的遺跡？,,,,"A pile of stone pillars engraved with exquisite patterns blocked the way, Xiaozhi planned to move the stone pillars carefully, in case this is some kind of relic",眼前一堆刻著精妙紋路的石柱堵了去路，小智打算小心的搬開石柱，萬一這是什麼遺跡古物呢,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=2030;y=480},<<2392;858>;<2460;748>;<2374;626>;<2206;520>;<2128;496>;<2030;480>>,7,360,,{8118=10},2,<13;1>,5,<1.5;2>,9,<30;1>,,,,,{gold=150000;5000=50}
