"﻿变量名",name,name_tw,name_en,name_vn,name_kr,type,classify,attrAdd,stackMax,theme,icon,res,startResScale,attr,interactivityAttr,roleActionDatas,size,touchSize,relSize,startPos,position,quality,currentNum,languages
默认值,,,,,,,-1,{},1,0,,,1,{},{},{},{width=1; height=1},{width=1;height=1;off={offWidth=0;offHeight=0}},{width=1;height=1;off={offWidth=0;offHeight=0}},{x=0; y=0;x2=0;y2=0},5,5,FALSE,<cn;tw;en;en_zd;vn;kr;th>
ID,名字,名字,名字,名字,名字,类型（0、主题，1、地板，2、墙壁，3、家具，4、壁画，5角色）,加成类型标记，-1-全 0-防 1-攻 2-技,属性加成,最大数量,主题（0：没有主题）,图标,资源,初始资源缩放倍率,属性（1、flip 是否可翻转，2、初始位于左面 left，3、初始位于右面right 4、可交互interactivity5、可行走walk）,交互属性5、交互动作名interactivityName 6、interactivityID 可以交互的英雄id7、interactFurnName交互时家具要播放的动作名 8、off={x;y},数码兽交互动作的数据,所占空间(格子为单位),点击响应范围,主要是用于墙上物品绘制选中范围,初始位置偏移量,位置，用于调整顺序,品质,用于数量显示为当前/当前,语言区域
50001,Simple Floor,簡易地板,Simple Floor,Sàn đơn giản,간이 바닥,1,-1,,1,0,city/homeland/home/icon/floor/default100.png,home/floor1000.tmx,,{minScale=0.4;maxScale=0.9;k=0.5;maxNum=30},,,{x=6;y=6;width=12; height=12;wallHeight=5},,,{x=-440; y=-15;x2=-440;y2=-15},6,,TRUE,
50002,Lake Blue Plaid,湖藍格子,Lake Blue Plaid,Ô vuông xanh biển,푸른 칸,1,-1,{7=305},1,2,city/homeland/home/icon/floor/grid101.png,home/floor1010.tmx,,{minScale=0.4;maxScale=0.9;k=0.5;maxNum=30},,,{x=6;y=6;width=12; height=12;wallHeight=5},,,{x=-440; y=-15;x2=-440;y2=-15},5,,,
50003,Green Floor,綠茵地板,Green Floor,Sàn cỏ xanh,초록색 바닥,1,-1,{1=1975},1,1,city/homeland/home/icon/floor/green102.png,home/floor1020.tmx,,{minScale=0.4;maxScale=0.9;k=0.5;maxNum=30},,,{x=6;y=6;width=12; height=12;wallHeight=5},,,{x=-440; y=-15;x2=-440;y2=-15},5,,,
50004,Sand Floor,沙灘地板,Sand Floor,Sàn cát biển,모래 바닥,1,-1,{8=115},1,3,city/homeland/home/icon/floor/floor400.png,home/floor1030.tmx,,{minScale=0.4;maxScale=0.9;k=0.5;maxNum=30},,,{x=6;y=6;width=12; height=12;wallHeight=5},,,{x=-440; y=-15;x2=-440;y2=-15},4,,,
50005,Christmas Floor,聖誕地板,Christmas Floor,Ván Sàn Noel,크리스마스 바닥,1,-1,{7=305},1,4,city/homeland/home/icon/floor/theme4.png,home/floor1040.tmx,,{minScale=0.4;maxScale=0.9;k=0.5;maxNum=30},,,{x=6;y=6;width=12; height=12;wallHeight=5},,,{x=-440; y=-15;x2=-440;y2=-15},3,,,
,,,,,,,,,,,,,,,,,,,,,,,,
51001,Simple Wallpaper,簡易牆紙,Simple Wallpaper,Giấy dán tường đơn giản,간이 벽지,2,-1,,1,0,city/homeland/home/icon/wall/qiangYello.png,home/wall2000.tmx,,,,,{width=12; height=5},,,,6,,TRUE,
51002,Lake Blue Wallpaper,湖藍牆紙,Lake Blue Wallpaper,Giấy dán tường xanh biển,푸른 벽지,2,-1,{8=115},1,2,city/homeland/home/icon/wall/qiang.png,home/wall2010.tmx,,,,,{width=12; height=5},,,,5,,,
51003,Zephyr Wallpaper,和風牆紙,Zephyr Wallpaper,Giấy dán tường dịu dàng,산들바람 벽지,2,-1,{7=245},1,1,city/homeland/home/icon/wall/qiangdefault.png,home/wall2020.tmx,,,,,{width=12; height=5},,,,5,,,
51004,Azure Wallpaper,湛藍牆紙,Azure Wallpaper,Giấy dán tường xanh đậm,짙푸른 벽지,2,-1,{1=2430},1,3,city/homeland/home/icon/wall/qm400.png,home/wall2030.tmx,,,,,{width=12; height=5},,,,4,,,
51005,Christmas Wallpaper,聖誕牆紙,Christmas Wallpaper,Giấy Tường Noel,크리스마스 벽지,2,-1,{8=115},1,4,city/homeland/home/icon/wall/theme4.png,home/wall2040.tmx,,,,,{width=12; height=5},,,,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,
