"数码大冒险",""
"你好","Xin chào"
"退出","Thoát"
"请登录","Mời đăng nhập"
"账号","Tài khoản"
"密码","Mật khẩu"
"登录","Đăng nhập"
"数码大冒险数据平台","Platform"

"基础查询","Tra cơ bản"
"数据图表","Bảng dữ liệu"
"充值","Nạp"
"充值查询","Tra nạp"
"运营数据","Dữ liệu vận hành"
"内网测试","Test nội bộ"
"语言","Ngôn ngữ"

"每日数据查询","Tra dữ liệu mỗi ngày"
"留存查询","Tra retention"
"充值排行","BXH nạp"
"充值详情","Chi tiết nạp"
"充值图表","Bảng nạp"
"今日在线","Online hôm nay"
"流失统计","Thống kê drop"
"聊天监控","Theo dõi chat"
"运营活动","SK vận hành"
"玩家活动","Sk user"
"发送邮件","Gửi thư"
"黑名单","Danh sách đen"
"日志查看","Tra log"
"礼包生成","Tạo giftcode"
"帐号迁移","Di chuyển t.khoản"
"服务器配置","Cài server"
"运营活动配置","Cài sk vận hành"

"分区查询只有付费数据，没有账号数据","Tra theo sv chỉ tra được dữ liệu nạp, không có dữ liệu t.khoản"
"查询","Tra"
"图表","Bảng"
"提交","Gửi"
"设置并全部重启","Cài và restart toàn bộ"
"更改服务器时间","Sửa t.gian server"
"设置并开始运营活动测试","Cài và bắt đầu test sk vận hành"

"服务器名称","Tên server"
"渠道","Kênh"
"日期","T.gian"
"开始日期","T.gian bắt đầu"
"结束日期","T.gian kết thúc"
"账号ID","ID t.khoản"
"角色ID","ID n.vật"
"名字","Tên vai trò"
"渠道ID","ID kênh"
"渠道帐号","T.khoản kênh"
"渠道订单号","ID đơn hàng kênh"
"辅助信息","Thông tin bổ trợ"
"邮件模板","Modul thư"
"邮件类型","Loại thư"
"邮件收件人","Người nhận"
"邮件内容","Nội dung thư"
"邮件附件","Đính kèm"
"邮件发送者","Người gửi"
"邮件标题","Tiêu đề thư"
"消息类型","Loại thông tin"
"消息参数","Tham số thông tin"
"消息间隔","Khoảng cách thông tin"
"消息内容","Nộ dung thông tin"
"礼包模板","Modul quà"
"礼包配置","Cài đặt quà"
"生成数量","Số lượng tạo"
"服务器列表","Ds server"
"工会ID","ID bang"
"工会名称","Tên bang"
"工会等级","Cấp bang"
"工会经验值","EXP bang"
"工会人数","Số người bang"
"工会战斗力","Chiến lực bang"
"显示全部","Hiển thị toàn bộ"
"更新数据","Update dữ liệu"
"1区开服日期","T.gian mở server 1"
"2区开服日期","T.gian mở server 2"
"繁体3区开服日期","T.gian mở server 3 phồn thể"
"4区开服日期","T.gian mở server 4"
"英文5区开服日期","T.gian mở server 5 EN"
"服务器当前日期","T.gian server hiện tại"
"测试天数","Số ngày test"
"查询类型","Loại tra"
"交互接口","Port thay đổi"
"新账号ID","ID t.khoản mới"

"老账号","T.khoản cũ"
"新账号","T.khoản mới"
"删除、添加","Xóa; thêm"
"删除","Xóa"
"帐号","Tài khoản"
"迁移失败","Di chuyển thất bại"
"全部迁移成功","Di chuyển toàn bộ thành công"
"新增一行","Thêm 1 hàng"

"公告","Thông báo"
"查看有效活动","Tra sk có hiệu lực"
"查看全部活动","Tra toàn bộ sk"
"重置配置","Cài đặt reset"
"保存","Lưu"
"配置","Cài"
"为全服配置","Cài cho all server"
"重置","Reset"
